city,year,n_obs,population,alpha,beta,kappa,delta,psi_at_center,p_at_center,psi_at_mean,p_at_mean,zero_ratio_obs,zero_ratio_pred,mean_nonzero_count,remoteness_mean,remoteness_std,remoteness_range,logLik,AIC,BIC,pseudo_R2,MSE,RMSE,MAE,fit_time_sec,n_iterations,convergence,fit_message
Bangui,2023,15992001,958335,-1.011469453,0.3435798951930554,-0.931117902,-0.13044825,0.2666923749437569,0.2826979714776255,0.987188660214515,0.0490486514511208,0.9577154853854748,0.957759220336214,1.861949027970436,15.588804801045312,5.803165769794631,28.805013015508017,-2640556.836,5281121.671131243,5281180.021528114,0.0572141613897371,0.1604451249440649,0.4005560197326523,0.1106925431713117,191.92404079437256,17,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Libreville,2023,15992001,869773,-0.640627322,0.2479160541579866,-0.58318398,-0.037602811,0.3451047460725489,0.3582002893684111,0.9683840121008896,0.2315855058283049,0.929136572715322,0.9291510090513057,2.733341686903485,16.386970632972556,6.100273903925549,30.27836134756008,-5338452.775,10676913.550812256,10676971.901209127,-0.304664652,0.6176268661780357,0.7858924011453704,0.292534496400898,153.29348373413086,11,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Constantine,2023,15996000,417768,0.9210573909816312,0.0997228298481607,-0.604704574,-0.007765094,0.7152575074029756,0.3532681004889239,0.9550980964166128,0.3162521183496976,0.942602525631408,0.9426088950785368,3.0290416389835864,21.422140510065866,8.121812630651185,39.67898417920346,-5112776.053,10225560.106062118,10225618.457459114,-0.454537694,0.6671403703026115,0.8167866124653437,0.3117004887260974,145.2794690132141,9,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Bobo-Dioulasso,2023,15996000,1128646,-1.2054535,0.4143318589488802,-0.728445229,-0.085283042,0.230506490097758,0.325536003987292,0.990980494389493,0.1252268579675779,0.951027631907977,0.9510247682689964,2.3336490664596954,14.25127878067366,5.306039788644277,26.3332767602866,-3258783.939,6517575.877505319,6517634.228902315,-0.042187161,0.2955147273061027,0.5436126629375945,0.1603606831890108,158.36016583442688,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Windhoek,2023,15996000,477267,-0.574358942,0.264187845487313,-0.518268802,-0.036582639,0.3602316313640732,0.373257134691486,0.9936293955777112,0.2146636451232151,0.9635795823955988,0.9635834306521236,2.8670965925768264,21.28799255046688,7.94509383870216,39.35273114295451,-2827436.27,5654880.540517275,5654938.891914271,-0.130199779,0.3458499956507113,0.5880901254490772,0.160869956679626,168.46416234970093,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Jakarta,2023,15992001,11248839,-1.311433421,0.2841533329352168,0.6059257249575342,-0.093243425,0.2122470796994377,0.6470108456167621,0.4949062099720938,0.545442249812989,0.4962595987831666,0.4962600859767174,4.990273363955512,4.543524241190966,1.691412196650183,8.394387870373977,-32356942.14,64713892.28347913,64713950.633876,-1.919152176,8.75075379332773,2.958167303133433,2.5577137957449465,139.19651412963867,8,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Delhi,2023,15996000,32941309,-0.179932501,0.2733089864784497,-0.049105542,-0.04801645,0.4551378463576646,0.487726080684347,0.6234846496097208,0.4577691518534479,0.6232110527631908,0.6232100464942921,4.152654437047503,2.5037516610898805,0.9383956503391024,4.630184654106134,-25928670.45,51857348.89809125,51857407.24948824,-1.446822522,6.082599041087056,2.466292570050653,1.9914345784564207,136.37475299835205,8,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Antananarivo,2016,15992001,2757316,-0.440045158,0.3874813149226644,-0.666718472,-0.135928889,0.3917302090883136,0.3392320187846774,0.9539440972824036,0.131898370371321,0.927616437742844,0.9276182432277652,2.218631809378018,8.957320419322004,3.33862218476224,16.552498841146917,-5102888.09,10205784.18097852,10205842.531375391,-0.228397129,0.4127615277365599,0.6424651957394735,0.2391804382675303,158.2789604663849,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Abidjan,2016,15992001,4658790,-0.88123986,0.4418686891332106,-0.059339467,-0.103257868,0.2929209153724244,0.4851694847868602,0.9038466360984868,0.3124066245866657,0.8604956940660522,0.8604963986954776,3.400302023395383,7.065345825473897,2.630191589434528,13.053734835765225,-10471119.27,20942246.54869751,20942304.89909438,-0.620472281,1.8085714519828653,1.3448313842199198,0.6882615437072833,167.69269633293152,12,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
Yaounde,2016,15992001,3272870,-1.696995268,0.5653087144621332,-0.415026385,-0.149285387,0.1548581078656649,0.3977075028778286,0.9557734781833768,0.1577949270597415,0.894391139670389,0.894452840930124,2.5715688997019948,8.4382063,3.1412442311865667,15.591936678544451,-6586990.215,13173988.429344388,13174046.77974126,-0.221382332,0.6502629068536016,0.8063888062551473,0.3337245980570694,179.1982877254486,14,TRUE,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
